City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Sinegorye,RU,2023-01-05 01:05:37,62.0788,150.477,-23.31,99,69,0.87
60,Carutapera,BR,2023-01-05 01:05:38,-1.195,-46.02,77.72,85,98,7.18
61,Duyun,CN,2023-01-05 01:05:38,26.2667,107.5167,44.31,90,100,2.91
62,Lebu,CL,2023-01-05 01:02:04,-37.6167,-73.65,59.14,90,100,17.2
63,Muroto,JP,2023-01-05 01:05:40,33.2833,134.15,46.76,56,8,11.18
64,Dongsheng,CN,2023-01-05 01:05:40,39.8161,109.9776,18.45,39,0,8.1
65,Ribeira Grande,PT,2023-01-05 01:05:41,38.5167,-28.7,56.77,85,25,3.0
66,New Norfolk,AU,2023-01-05 01:05:42,-42.7826,147.0587,62.91,51,55,1.99
67,Rudbar,AF,2023-01-05 01:05:43,30.15,62.6,47.39,24,100,8.12
68,Bredasdorp,ZA,2023-01-05 01:05:43,-34.5322,20.0403,60.26,61,100,10.85
69,Irtyshskiy,RU,2023-01-05 01:05:44,58.3333,68.1333,-7.19,99,100,4.32
70,Gerash,IR,2023-01-05 01:05:45,27.6652,54.1371,56.37,30,100,1.97
71,Bethel,US,2023-01-05 01:05:19,41.3712,-73.414,56.16,87,100,6.91
72,Chuy,UY,2023-01-05 01:05:46,-33.6971,-53.4616,64.47,64,4,8.79
73,Mataura,NZ,2023-01-05 01:05:46,-46.1927,168.8643,66.0,80,100,1.97
74,Tarakan,ID,2023-01-05 01:05:47,3.3,117.6333,81.9,89,40,3.44
75,Kawalu,ID,2023-01-05 01:05:48,-7.3817,108.2082,77.14,80,100,0.6
76,Betare Oya,CM,2023-01-05 01:05:49,5.6,14.0833,68.72,39,13,5.17
77,Busselton,AU,2023-01-05 01:05:49,-33.65,115.3333,78.98,41,0,13.47
78,Naze,JP,2023-01-05 01:05:50,28.3667,129.4833,57.33,59,2,13.2
79,Kyra,RU,2023-01-05 01:05:51,49.5776,111.9753,-15.2,90,6,3.49
80,Puerto Ayora,EC,2023-01-05 01:01:33,-0.7393,-90.3518,73.54,94,59,1.99
81,Kununurra,AU,2023-01-05 01:05:52,-15.7667,128.7333,84.18,74,100,10.36
82,Luwuk,ID,2023-01-05 01:05:52,-0.9516,122.7875,84.24,70,100,1.45
83,Punta Arenas,CL,2023-01-05 01:05:53,-53.15,-70.9167,46.51,87,100,8.05
84,Nuuk,GL,2023-01-05 01:05:54,64.1835,-51.7216,17.06,82,100,9.86
85,Pacific Grove,US,2023-01-05 01:05:54,36.6177,-121.9166,62.35,79,100,37.0
86,Mount Isa,AU,2023-01-05 01:05:55,-20.7333,139.5,78.57,73,99,12.66
87,Cherskiy,RU,2023-01-05 01:05:56,68.75,161.3,-51.72,100,70,2.95
88,Braco Do Norte,BR,2023-01-05 01:05:44,-28.275,-49.1656,61.65,92,26,2.19
89,Carnarvon,AU,2023-01-05 01:05:57,-24.8667,113.6333,80.74,72,3,10.04
90,East London,ZA,2023-01-05 01:05:57,-33.0153,27.9116,66.63,92,100,7.83
91,Hay River,CA,2023-01-05 01:05:58,60.8156,-115.7999,-7.24,100,43,3.51
92,Dunedin,NZ,2023-01-05 01:05:59,-45.8742,170.5036,59.81,95,100,5.14
93,Mamallapuram,IN,2023-01-05 01:06:29,12.6264,80.1722,77.05,72,13,12.26
94,Mercedes,AR,2023-01-05 01:06:30,-34.6515,-59.4307,72.64,44,0,9.73
95,Dickinson,US,2023-01-05 01:06:31,29.4608,-95.0513,66.11,54,0,0.0
96,Oistins,BB,2023-01-05 01:06:32,13.0667,-59.5333,77.09,83,40,20.71
97,Camacha,PT,2023-01-05 01:06:32,33.0833,-16.3333,56.62,72,20,4.61
